"row ID","year","country","value"
"Row0_1","2016","1A","2.11674094107005"
"Row0_2","2015","1A","2.22136760166012"
"Row0_3","2014","1A","2.29041967615927"
"Row0_4","2013","1A","2.35253063521752"
"Row0_5","2012","1A","2.47633439807505"
"Row0_6","2011","1A","2.53455352150624"
"Row0_7","2010","1A",
"Row0_8","2009","1A",
"Row0_9","2008","1A",
"Row0_10","2007","1A",
"Row0_11","2006","1A",
"Row0_12","2005","1A","3.62062675887752"
"Row0_13","2004","1A",
"Row0_14","2003","1A",
"Row0_15","2002","1A",
"Row0_16","2001","1A",
"Row0_17","2000","1A","5.3634546190115"
"Row0_18","1999","1A",
"Row0_19","1998","1A",
"Row0_20","1997","1A",
"Row0_21","1996","1A",
"Row0_22","1995","1A",
"Row0_23","1994","1A",
"Row0_24","1993","1A",
"Row0_25","1992","1A",
"Row0_26","1991","1A",
"Row0_27","1990","1A",
"Row0_28","1989","1A",
"Row0_29","1988","1A",
"Row0_30","1987","1A",
"Row0_31","1986","1A",
"Row0_32","1985","1A",
"Row0_33","2016","S3",
"Row0_34","2015","S3",
"Row0_35","2014","S3",
"Row0_36","2013","S3",
"Row0_37","2012","S3",
"Row0_38","2011","S3",
"Row0_39","2010","S3",
"Row0_40","2009","S3",
"Row0_41","2008","S3",
"Row0_42","2007","S3",
"Row0_43","2006","S3",
"Row0_44","2005","S3",
"Row0_45","2004","S3",
"Row0_46","2003","S3",
"Row0_47","2002","S3",
"Row0_48","2001","S3",
"Row0_49","2000","S3",
"Row0_50","1999","S3",
"Row0_51","1998","S3",
"Row0_52","1997","S3",
"Row0_53","1996","S3",
"Row0_54","1995","S3",
"Row0_55","1994","S3",
"Row0_56","1993","S3",
"Row0_57","1992","S3",
"Row0_58","1991","S3",
"Row0_59","1990","S3",
"Row0_60","1989","S3",
"Row0_61","1988","S3",
"Row0_62","1987","S3",
"Row0_63","1986","S3",
"Row0_64","1985","S3",
"Row0_65","2016","B8","25.0930419342669"
"Row0_66","2015","B8","25.346392062146"
"Row0_67","2014","B8","25.6656486975428"
"Row0_68","2013","B8","26.079238624777"
"Row0_69","2012","B8","26.4325307795096"
"Row0_70","2011","B8","26.7752467968778"
"Row0_71","2010","B8","27.2087513769192"
"Row0_72","2009","B8",
"Row0_73","2008","B8",
"Row0_74","2007","B8",
"Row0_75","2006","B8",
"Row0_76","2005","B8","29.3700031082913"
"Row0_77","2004","B8",
"Row0_78","2003","B8",
"Row0_79","2002","B8",
"Row0_80","2001","B8",
"Row0_81","2000","B8","31.9448002259966"
"Row0_82","1999","B8",
"Row0_83","1998","B8",
"Row0_84","1997","B8",
"Row0_85","1996","B8",
"Row0_86","1995","B8",
"Row0_87","1994","B8",
"Row0_88","1993","B8",
"Row0_89","1992","B8",
"Row0_90","1991","B8",
"Row0_91","1990","B8",
"Row0_92","1989","B8",
"Row0_93","1988","B8",
"Row0_94","1987","B8",
"Row0_95","1986","B8",
"Row0_96","1985","B8",
"Row0_97","2016","V2","3.30181967938412"
"Row0_98","2015","V2","3.44762850574505"
"Row0_99","2014","V2","3.65030178994877"
"Row0_100","2013","V2","3.84880869562797"
"Row0_101","2012","V2","4.07820472552947"
"Row0_102","2011","V2","4.29394500280318"
"Row0_103","2010","V2","4.58272818547138"
"Row0_104","2009","V2",
"Row0_105","2008","V2",
"Row0_106","2007","V2",
"Row0_107","2006","V2",
"Row0_108","2005","V2","6.17831998907671"
"Row0_109","2004","V2",
"Row0_110","2003","V2",
"Row0_111","2002","V2",
"Row0_112","2001","V2",
"Row0_113","2000","V2","8.51116322151062"
"Row0_114","1999","V2",
"Row0_115","1998","V2",
"Row0_116","1997","V2",
"Row0_117","1996","V2",
"Row0_118","1995","V2",
"Row0_119","1994","V2",
"Row0_120","1993","V2",
"Row0_121","1992","V2",
"Row0_122","1991","V2",
"Row0_123","1990","V2",
"Row0_124","1989","V2",
"Row0_125","1988","V2",
"Row0_126","1987","V2",
"Row0_127","1986","V2",
"Row0_128","1985","V2",
"Row0_129","2016","Z4","3.11324358151106"
"Row0_130","2015","Z4","3.22057416732144"
"Row0_131","2014","Z4","3.28009561821447"
"Row0_132","2013","Z4","3.3965112649555"
"Row0_133","2012","Z4","3.53141623841373"
"Row0_134","2011","Z4","3.58448357599589"
"Row0_135","2010","Z4","3.72869544769184"
"Row0_136","2009","Z4",
"Row0_137","2008","Z4",
"Row0_138","2007","Z4",
"Row0_139","2006","Z4",
"Row0_140","2005","Z4","4.35080428824023"
"Row0_141","2004","Z4",
"Row0_142","2003","Z4",
"Row0_143","2002","Z4",
"Row0_144","2001","Z4",
"Row0_145","2000","Z4","5.18979905156645"
"Row0_146","1999","Z4",
"Row0_147","1998","Z4",
"Row0_148","1997","Z4",
"Row0_149","1996","Z4",
"Row0_150","1995","Z4",
"Row0_151","1994","Z4",
"Row0_152","1993","Z4",
"Row0_153","1992","Z4",
"Row0_154","1991","Z4",
"Row0_155","1990","Z4",
"Row0_156","1989","Z4",
"Row0_157","1988","Z4",
"Row0_158","1987","Z4",
"Row0_159","1986","Z4",
"Row0_160","1985","Z4",
"Row0_161","2016","4E","2.45331470485551"
"Row0_162","2015","4E","2.5489005124731"
"Row0_163","2014","4E","2.58846967444892"
"Row0_164","2013","4E","2.69044974235537"
"Row0_165","2012","4E","2.81183799381619"
"Row0_166","2011","4E","2.8457970988207"
"Row0_167","2010","4E","2.96929538401853"
"Row0_168","2009","4E",
"Row0_169","2008","4E",
"Row0_170","2007","4E",
"Row0_171","2006","4E",
"Row0_172","2005","4E","3.50099566788303"
"Row0_173","2004","4E",
"Row0_174","2003","4E",
"Row0_175","2002","4E",
"Row0_176","2001","4E",
"Row0_177","2000","4E","4.21761916989866"
"Row0_178","1999","4E",
"Row0_179","1998","4E",
"Row0_180","1997","4E",
"Row0_181","1996","4E",
"Row0_182","1995","4E",
"Row0_183","1994","4E",
"Row0_184","1993","4E",
"Row0_185","1992","4E",
"Row0_186","1991","4E",
"Row0_187","1990","4E",
"Row0_188","1989","4E",
"Row0_189","1988","4E",
"Row0_190","1987","4E",
"Row0_191","1986","4E",
"Row0_192","1985","4E",
"Row0_193","2016","T4","2.45331470485552"
"Row0_194","2015","T4","2.5489005124731"
"Row0_195","2014","T4","2.58846967444892"
